Episode,Total Reward,Mean Reward,Train Loss,Epsilon,Actions,Training Time
0,-300.0344302776648,-1.0,58.39777374267578,0.998,99,0.23670148849487305
1,-79.9929914862555,-1.0,10.537764549255371,0.996004,65,0.39575934410095215
2,-143.80418354029518,-1.0,1.468306541442871,0.994011992,89,0.5354220867156982
3,-363.60332915157363,-1.0,1.0038701295852661,0.992023968016,103,0.6098794937133789
4,-112.29901785076173,-1.0,1.2493728399276733,0.990039920079968,84,0.5007467269897461
5,-217.85866261472134,-1.0,16.05791473388672,0.9880598402398081,87,0.5188992023468018
6,-100.86099122912825,-1.0,8363.4482421875,0.9860837205593285,102,0.6071960926055908
7,-84.87161040518615,-1.0,17404.611328125,0.9841115531182099,66,0.3902711868286133
8,-84.53586103277195,-1.0,184471.296875,0.9821433300119734,70,0.42249035835266113
9,-122.01992236589591,-1.0,426319.875,0.9801790433519495,99,0.667912483215332
10,-182.84174185207405,-1.0,798017.25,0.9782186852652456,93,0.6452639102935791
11,68.75984663666728,-1.0,1417220.875,0.976262247894715,87,0.5913443565368652
12,-78.08604060831317,-1.0,1647861.5,0.9743097233989256,68,0.46714305877685547
13,-67.02815694903016,-1.0,1668942.5,0.9723611039521278,65,0.450542688369751
14,-145.05222709632133,-1.0,1607549.375,0.9704163817442236,65,0.45993876457214355
15,-55.09510051031483,-1.0,2283325.5,0.9684755489807352,68,0.47690677642822266
16,-202.8731105978385,-1.0,1240588160.0,0.9665385978827737,101,0.712214469909668
17,-165.20182903300997,-1.0,15529156.0,0.9646055206870082,122,0.8484656810760498
18,-120.67122758982534,-1.0,5712980.0,0.9626763096456342,91,0.633995532989502
19,-197.29298590449275,-1.0,1427049.0,0.9607509570263429,105,0.7469949722290039
20,-48.34706570359312,-1.0,6983926.5,0.9588294551122902,60,0.4180152416229248
21,-219.18758183931365,-1.0,3434764.5,0.9569117962020657,76,0.5311813354492188
22,-64.21452923854639,-1.0,4694849.5,0.9549979726096616,66,0.46295952796936035
23,-116.94676180472646,-1.0,5736462.0,0.9530879766644422,68,0.47186803817749023
24,-501.4184462257205,-1.0,4927277.0,0.9511818007111134,95,0.656407356262207
25,-192.01419339317636,-1.0,8031128.0,0.9492794371096911,91,0.6353287696838379
26,-339.8243528065923,-1.0,9951386.0,0.9473808782354717,111,0.7745764255523682
27,-194.72750693323624,-1.0,4445642.0,0.9454861164790007,68,0.4722566604614258
28,-325.6737561964676,-1.0,91668696.0,0.9435951442460427,95,0.6758139133453369
29,-466.44890737012366,-1.0,34585840.0,0.9417079539575507,136,0.950002908706665
30,-398.129836439082,-1.0,90233344.0,0.9398245380496356,105,0.7372090816497803
31,-127.23630474201717,-1.0,113928968.0,0.9379448889735363,103,0.7264466285705566
32,-226.03503766015268,-1.0,179493504.0,0.9360689991955893,117,0.8339531421661377
33,-356.9840000759578,-1.0,179434304.0,0.9341968611971981,95,0.675055980682373
34,-136.52535046925988,-1.0,785698752.0,0.9323284674748037,123,0.878455400466919
35,-125.28878549623401,-1.0,567722944.0,0.930463810539854,86,0.6155216693878174
36,-190.73790060315025,-1.0,478902272.0,0.9286028829187744,81,0.5884048938751221
37,-100.22587910806057,-1.0,746790912.0,0.9267456771529368,60,0.44283461570739746
38,-213.31287222975084,-1.0,593444544.0,0.9248921857986309,84,0.8125951290130615
39,-162.74799584377223,-1.0,1116504960.0,0.9230424014270336,71,0.7206246852874756
40,-106.63998730340029,-1.0,753191616.0,0.9211963166241796,98,0.9039676189422607
41,-78.50157077525571,-1.0,1329549056.0,0.9193539239909312,88,0.8234186172485352
42,-162.4358584160687,-1.0,697750784.0,0.9175152161429493,103,0.9804329872131348
43,-111.98681546315761,-1.0,1389957632.0,0.9156801857106633,92,0.8837218284606934
44,-144.57629724583774,-1.0,2469469696.0,0.913848825339242,92,0.8830926418304443
45,-162.2251081527877,-1.0,3188731648.0,0.9120211276885636,57,0.5589272975921631
46,-213.77156532302595,-1.0,1342852224.0,0.9101970854331864,92,0.9134330749511719
47,-84.41098467163603,-1.0,954843008.0,0.9083766912623201,79,0.7769365310668945
48,-213.15123498349004,-1.0,3423240960.0,0.9065599378797955,154,1.5182111263275146
49,-99.40826985162039,-1.0,3854032384.0,0.9047468180040359,61,0.6013047695159912
50,-168.70907380240152,-1.0,2937270528.0,0.9029373243680279,157,1.565241813659668
51,-139.1393473331841,-1.0,11656474624.0,0.9011314497192918,80,0.8061878681182861
52,-360.9360251390291,-1.0,12243593216.0,0.8993291868198532,95,0.9509429931640625
53,-105.68122212569885,-1.0,12134209536.0,0.8975305284462135,73,0.7279095649719238
54,-81.93663684267023,-1.0,12170126336.0,0.8957354673893211,65,0.649505615234375
55,-150.97539163453771,-1.0,4046531840.0,0.8939439964545425,127,1.2656915187835693
56,-387.32344902945187,-1.0,27482411008.0,0.8921561084616334,119,1.1908822059631348
57,-114.85182100664628,-1.0,514866577408.0,0.8903717962447101,83,0.8327286243438721
58,-322.652051806064,-1.0,13029476352.0,0.8885910526522206,97,0.9824423789978027
59,-371.6915078181808,-1.0,13849207808.0,0.8868138705469162,119,1.1981420516967773
60,-12.432375569896806,-1.0,19287844864.0,0.8850402428058224,159,1.6101930141448975
61,-274.0234760880776,-1.0,5476451328.0,0.8832701623202107,130,1.3301968574523926
62,-114.52454312322214,-1.0,20490201088.0,0.8815036219955703,75,0.7493212223052979
63,-101.54152681484445,-1.0,19714848768.0,0.8797406147515792,72,0.7236349582672119
64,-453.2420851057425,-1.0,35886809088.0,0.877981133522076,76,0.7619402408599854
65,-91.62630549810318,-1.0,16975120384.0,0.8762251712550319,154,1.5504329204559326
66,-145.57513887236522,-1.0,34556481536.0,0.8744727209125218,143,1.4463393688201904
67,-583.0572762936192,-1.0,28251545600.0,0.8727237754706968,127,1.2815730571746826
68,-235.9673796169361,-1.0,40508506112.0,0.8709783279197554,105,1.0573029518127441
69,-112.89587838877202,-1.0,43637686272.0,0.8692363712639158,110,1.1098496913909912
70,-152.34807218989795,-1.0,58043768832.0,0.867497898521388,128,1.2999053001403809
71,-496.44870188226577,-1.0,63743397888.0,0.8657629027243453,106,1.0726678371429443
72,-120.25829968737597,-1.0,32854079488.0,0.8640313769188966,94,0.9507920742034912
73,-337.9528000353524,-1.0,100185448448.0,0.8623033141650589,131,1.3343441486358643
74,-152.39109275708574,-1.0,100686864384.0,0.8605787075367288,107,1.092914342880249
75,-402.8578026954224,-1.0,86485893120.0,0.8588575501216553,112,1.1421141624450684
76,-188.12518825508818,-1.0,138813358080.0,0.857139835021412,77,0.8050029277801514
77,-395.8129185122331,-1.0,155318665216.0,0.8554255553513692,99,1.0336189270019531
78,-315.9292275747107,-1.0,85857017856.0,0.8537147042406664,91,0.9296755790710449
79,-341.798149942386,-1.0,165807112192.0,0.8520072748321851,117,1.1945991516113281
80,-257.2003907869065,-1.0,279517593600.0,0.8503032602825207,87,0.8827738761901855
81,-101.17800158213673,-1.0,183122477056.0,0.8486026537619556,89,0.9092323780059814
82,-406.87447633540717,-1.0,64361058304.0,0.8469054484544317,104,1.0647163391113281
83,-297.2020435706971,-1.0,11452093038592.0,0.8452116375575228,128,1.3101646900177002
84,-357.00107403183927,-1.0,349985701888.0,0.8435212142824078,157,1.6142935752868652
85,-125.03616784489463,-1.0,311825039360.0,0.841834171853843,121,1.2498836517333984
86,-118.4867174952375,-1.0,260432265216.0,0.8401505035101353,93,0.9487335681915283
87,-303.8786576457499,-1.0,367049834496.0,0.838470202503115,111,1.132568597793579
88,-296.55262310372507,-1.0,346307461120.0,0.8367932620981088,88,0.8966765403747559
89,-295.01463522322285,-1.0,2350523875328.0,0.8351196755739125,66,0.67909836769104
90,-116.15429993540872,-1.0,195403644928.0,0.8334494362227647,68,0.6944694519042969
91,-230.53273797811522,-1.0,613329928192.0,0.8317825373503192,114,1.1689329147338867
92,-57.296200105828945,-1.0,355113238528.0,0.8301189722756185,80,0.8274397850036621
93,-170.25112385797905,-1.0,513810006016.0,0.8284587343310672,88,0.8986635208129883
94,-310.34954161908206,-1.0,294436339712.0,0.8268018168624051,132,1.3873465061187744
95,-397.5077620427865,-1.0,473985515520.0,0.8251482132286803,100,1.0288243293762207
96,-66.86335565563672,-1.0,773772476416.0,0.823497916802223,70,0.7112514972686768
97,-372.588463176107,-1.0,608577060864.0,0.8218509209686186,130,1.3328280448913574
98,-417.1971459005227,-1.0,765934764032.0,0.8202072191266814,118,1.2071115970611572
99,-284.54837032451906,-208.52816883481086,183826268160.0,0.818566804688428,98,1.0246078968048096
100,-142.20264477494288,-206.94985097978366,950816473088.0,0.8169296710790511,62,0.6484253406524658
101,-500.1549909170923,-211.15147097409204,386345009152.0,0.815295811736893,131,1.355302333831787
102,-80.76947525354697,-210.52112389122456,1097599418368.0,0.8136652201134192,141,1.4581806659698486
103,-164.15392849275213,-208.52662988463632,605450141696.0,0.8120378896731923,63,0.6475100517272949
104,-67.9706590559789,-208.08334629668852,362915463168.0,0.8104138138938459,76,0.7862589359283447
105,-141.27831545559138,-207.31754282509718,1640113635328.0,0.8087929862660582,91,0.9351685047149658
106,-453.6881876984277,-210.8458147897902,986362019840.0,0.8071754002935261,127,1.3151369094848633
107,-332.0937928343642,-213.31803661408196,1527771955200.0,0.805561049492939,102,1.0545341968536377
108,-310.5550447419518,-215.57822845117383,132346808369152.0,0.8039499273939532,94,0.9734764099121094
109,-330.30827296028036,-217.66111195711764,964863328256.0,0.8023420275391653,134,1.3933978080749512
110,-305.1827552311412,-218.88452209090832,4276384956416.0,0.800737343484087,170,1.7713813781738281
111,-346.14629486818507,-223.03358350595684,3478234333184.0,0.7991358687971188,83,0.8589656352996826
112,-253.08080447937795,-224.78353114466753,3590468403200.0,0.7975375970595246,102,1.0535378456115723
113,-423.72442744394334,-228.35049384961664,9769186230272.0,0.7959425218654056,149,1.5522534847259521
114,-207.4696863781878,-228.97466844243533,2517591130112.0,0.7943506368216747,90,0.932464599609375
115,-123.27747656342503,-229.65649220296643,2762394566656.0,0.7927619355480314,113,1.1747217178344727
116,-333.05515007894815,-230.95831259777754,2532573184000.0,0.7911764116769353,89,0.9262831211090088
117,-218.96708265032123,-231.49596513395068,2348093538304.0,0.7895940588535815,141,1.4710309505462646
118,-347.91371289304584,-233.76838998698287,20611380281344.0,0.7880148707358743,194,2.0300588607788086
119,-210.2696650837289,-233.89815677877527,4335325675520.0,0.7864388409944025,99,1.0252208709716797
120,-102.28195958996251,-234.4375057176389,4587451842560.0,0.7848659633124138,93,0.9654109477996826
121,-102.64684092026009,-233.2720983084484,4715848925184.0,0.783296231385789,74,0.7606172561645508
122,-51.321378191322346,-233.14316679797616,5345375158272.0,0.7817296389230174,151,1.5767369270324707
123,-356.0338687019872,-235.53403786694878,4226969239552.0,0.7801661796451713,90,0.9350697994232178
124,-79.14547696031536,-231.3113081742947,6832463020032.0,0.778605847285881,82,0.8533153533935547
125,-286.88479447381,-232.26001418510106,4098167406592.0,0.7770486355913092,90,0.9349942207336426
126,-259.6642736351678,-231.4584133933868,5697776386048.0,0.7754945383201266,129,1.3545536994934082
127,-82.05699276661987,-230.33170825172067,22105326354432.0,0.7739435492434863,90,0.932117223739624
128,-79.59075280028975,-227.87087821775884,10119294222336.0,0.7723956621449993,83,0.8607335090637207
129,-319.1554157664042,-226.39794330172165,7608322228224.0,0.7708508708207094,81,0.8405210971832275
130,-366.49062806250726,-226.0815512179559,8059292745728.0,0.769309169079068,210,2.203258991241455
131,-204.1503633144969,-226.85069180368072,9302410526720.0,0.7677705507409098,246,2.6198031902313232
132,-316.4983569366186,-227.75532499644535,12604740206592.0,0.766235009639428,152,1.58243989944458
133,-461.46887728960286,-228.8001737685818,13450792140800.0,0.7647025396201492,126,1.3040053844451904
134,-329.515872186498,-230.73007898575423,11198341840896.0,0.763173134540909,90,0.9239554405212402
135,-405.38002312548065,-233.5309913620467,15339932876800.0,0.7616467882718272,92,0.942497730255127
136,-263.6178045041639,-234.25979040105682,19942221021184.0,0.7601234946952835,142,1.461855173110962
137,-254.5621687847023,-235.80315329782323,29588461715456.0,0.7586032477058929,89,0.9270534515380859
138,-338.19812297346573,-237.05200580526036,14711174201344.0,0.7570860412104812,128,1.3137166500091553
139,-134.01333813696064,-236.76465922819227,20513917239296.0,0.7555718691280602,81,0.8277661800384521
140,-7.868586546248125,-235.77694522062077,10271307333632.0,0.7540607253898041,146,1.500941276550293
141,-98.87375188203497,-235.98066703168854,17273526943744.0,0.7525526039390245,130,1.3752779960632324
142,-329.8098607777898,-237.65440705530574,8195708289024.0,0.7510474987311464,94,0.9828348159790039
143,-317.4808101020817,-239.70934700169502,36163171647488.0,0.7495454037336841,96,1.0024056434631348
144,-131.4603399175632,-239.57818742841226,29854430920704.0,0.7480463129262167,200,2.0836267471313477
145,-442.26427393969817,-242.37857908628135,20029659676672.0,0.7465502203003642,103,1.0575575828552246
146,-137.967696079936,-241.62054039385046,32207364161536.0,0.7450571198597635,93,0.9530689716339111
147,-134.48095476471258,-242.1212400947812,10712475762688.0,0.743567005620044,99,1.0139200687408447
148,-149.71327998047957,-241.4868605447511,34405391269888.0,0.7420798716088038,117,1.2010431289672852
149,-323.913672570696,-243.7319145719419,35208258650112.0,0.7405957118655863,211,2.2037711143493652
150,-99.7997678229272,-243.04282151214716,51687062503424.0,0.7391145204418551,89,0.9213571548461914
151,-298.77296485283705,-244.6391576873437,71580453437440.0,0.7376362914009714,91,0.9446077346801758
152,-60.50660518812349,-241.6348634878346,25066211377152.0,0.7361610188181695,111,1.1562845706939697
153,-217.21560599432644,-242.7502073265209,57836155437056.0,0.7346886967805332,117,1.217848777770996
154,-200.85572205550272,-243.9393981786492,20295429652480.0,0.733219319386972,72,0.7465023994445801
155,-322.88854869588243,-245.65852974926267,24838081085440.0,0.7317528807481981,93,0.9630074501037598
156,-343.77951387440294,-245.22309039771216,23800045371392.0,0.7302893749867018,100,1.0279872417449951
157,-311.74730789833643,-247.19204526662907,31848430305280.0,0.7288287962367284,102,1.062509298324585
158,-271.3403754992082,-246.67892850356054,15855918252032.0,0.727371138644255,94,0.9732868671417236
159,-339.4166255617653,-246.35617968099635,24140536872960.0,0.7259163963669665,172,1.8036346435546875
160,-300.87426378022826,-249.24059856309967,42702234189824.0,0.7244645635742325,108,1.1277813911437988
161,-181.72197459824073,-248.3175835482013,30488783749120.0,0.723015634447084,102,1.0608744621276855
162,-216.97668182318844,-249.34210493520098,87765978972160.0,0.7215696031781899,101,1.0531139373779297
163,-343.10714524280104,-251.75776111948053,50114911535104.0,0.7201264639718334,249,2.6153080463409424
164,-569.1596381117222,-252.91693664954033,37586521292800.0,0.7186862110438897,129,1.3347570896148682
165,-253.76692324098687,-254.53834282696917,44469760032768.0,0.717248838621802,156,1.6412265300750732
166,-291.31628651118285,-255.99575430335736,52181763883008.0,0.7158143409445584,102,1.0612199306488037
167,-151.46103986491295,-251.67979193907027,33637326127104.0,0.7143827122626694,118,1.2271835803985596
168,-495.1154341493692,-254.2712724843946,195150882013184.0,0.7129539468381441,460,4.99482536315918
169,-519.8003583059971,-258.34031728356683,59487092211712.0,0.7115280389444678,81,0.8419759273529053
170,-75.01649658788673,-257.5670015275467,100318977196032.0,0.7101049828665789,83,0.8609278202056885
171,-93.79651547603898,-253.54047966348443,1427041136148480.0,0.7086847729008457,68,0.7134120464324951
172,-270.68092012870443,-255.04470586789773,44780578930688.0,0.707267403355044,101,1.0490634441375732
173,-457.4605755788389,-256.2397836233326,94387728023552.0,0.705852868548334,98,1.0210578441619873
174,-363.48611453531987,-258.3507338411149,53269338521600.0,0.7044411628112373,121,1.27587890625
175,-511.37244684777556,-259.43588028263844,55687363166208.0,0.7030322804856147,117,1.2338447570800781
176,-139.1719033880364,-258.9463474339679,35094641246208.0,0.7016262159246435,117,1.2386155128479004
177,-271.84495531706614,-257.7066678020162,65970479562752.0,0.7002229634927942,94,0.9941716194152832
178,-479.9932979568713,-259.3473085058378,134758793216000.0,0.6988225175658086,131,1.3721060752868652
179,-382.04712587254477,-259.7497982651394,77054087266304.0,0.697424872530677,87,0.9118280410766602
180,-330.9004415279869,-260.4867987725502,26029913538560.0,0.6960300227856157,126,1.3116350173950195
181,-361.6793904880624,-263.0918126616094,85257600630784.0,0.6946379627400444,90,0.933415412902832
182,-131.0232666456411,-260.33330056471175,163383458398208.0,0.6932486868145643,90,0.9345231056213379
183,-267.66709883908095,-260.03795111739555,342304967622656.0,0.6918621894409351,125,1.3070111274719238
184,-356.67400724186734,-260.03468044949585,90276655792128.0,0.6904784650620532,154,1.6123619079589844
185,-383.8345737335704,-262.6226645083826,94838892527616.0,0.6890975081319292,133,1.3826916217803955
186,-371.9962389711605,-265.15775972314185,65072638459904.0,0.6877193131156653,124,1.296579360961914
187,-469.9596753520303,-266.8185699002047,233682946228224.0,0.6863438744894339,132,1.413224458694458
188,-440.169569318001,-268.25473936234744,130955826167808.0,0.684971186740455,95,1.0023975372314453
189,-346.1469572244281,-268.7660625823595,114709659385856.0,0.6836012443669741,249,2.6239326000213623
190,-484.1982743239139,-272.4465023262445,45436354166784.0,0.6822340418782402,82,0.8425695896148682
191,-108.28565684588827,-271.2240315149222,63228721758208.0,0.6808695737944838,92,0.9462413787841797
192,-103.08706519759068,-271.6819401658398,121284390289408.0,0.6795078346468948,145,1.5041706562042236
193,-407.54709522001275,-274.05489987946015,3544686169948160.0,0.678148818977601,80,0.8295478820800781
194,-69.00614371465902,-271.64146590041594,83465357754368.0,0.6767925213396458,96,0.990138053894043
195,-262.026924780954,-270.2866575277976,99798883500032.0,0.6754389362969666,254,2.6786272525787354
196,-504.9076515795262,-274.6671004870365,95207806730240.0,0.6740880584243727,98,1.0101873874664307
197,-153.42426757890894,-272.47545853106453,50487537696768.0,0.6727398823075239,289,3.0472538471221924
198,-319.05469014538426,-271.4940339735132,122531071655936.0,0.6713944025429088,77,0.6864407062530518
199,-96.99267976889669,-269.618477067957,271291491811328.0,0.670051613737823,93,0.8208062648773193
200,-479.50073353930566,-272.9914579556006,71431111049216.0,0.6687115105103473,145,1.2949471473693848
201,-165.77029486815934,-269.6476109951113,117132843024384.0,0.6673740874893266,105,0.9333333969116211
202,-228.32227245328383,-271.1231389671086,167907585687552.0,0.6660393393143479,86,0.7538635730743408
203,-52.64343636458047,-270.0080340458269,284768679755776.0,0.6647072606357192,112,0.9829087257385254
204,-336.1833545257123,-272.69016100052426,43791272640512.0,0.6633778461144477,100,0.8782193660736084
205,-157.75924410121928,-272.8549702869805,74292482015232.0,0.6620510904222189,79,0.6920065879821777
206,-425.3850289031075,-272.5719386990273,111025022042112.0,0.6607269882413744,114,1.0042762756347656
207,-232.7830391866271,-271.57883116254993,392439449780224.0,0.6594055342648917,174,1.5548853874206543
208,-351.8323937383134,-271.9916046525136,1377267028590592.0,0.6580867231963619,119,1.0525076389312744
209,-278.6289485093038,-271.47481140800375,616305325506560.0,0.6567705497499692,102,0.8962709903717041
210,-376.5677138644666,-272.18866099433706,195019046649856.0,0.6554570086504692,80,0.7026963233947754
211,-379.3032439016913,-272.5202304846721,1122273008287744.0,0.6541460946331682,97,0.855954647064209
212,-255.83605482921948,-272.5477829881705,1.6636964916690944e+16,0.6528378024439019,228,2.0496673583984375
213,-365.5563965727232,-271.9661026794583,437235220480000.0,0.6515321268390141,98,0.8771853446960449
214,-267.0918648515187,-272.56232446419165,53442311618560.0,0.6502290625853361,82,0.7281186580657959
215,-74.97713800272592,-272.07932107858466,189492866580480.0,0.6489286044601654,125,1.1085281372070312
216,-419.8184456147977,-272.94695403394314,2481378432122880.0,0.6476307472512451,115,1.0218212604522705
217,-221.47699736135476,-272.97205318105347,111107289120768.0,0.6463354857567426,116,1.0257189273834229
218,-242.48561633984997,-271.9177722155215,417540278845440.0,0.6450428147852291,112,0.9840459823608398
219,-417.73076596098826,-273.99238322429414,243553284390912.0,0.6437527291556586,95,0.8345043659210205
220,-435.61692081427304,-277.32573283653727,214353949229056.0,0.6424652236973473,104,0.9154431819915771
221,40.518642296508006,-275.89407800436953,154892157059072.0,0.6411802932499525,128,1.137617826461792
222,-418.07072657881463,-279.56157148824445,237950113677312.0,0.6398979326634526,102,0.9020700454711914
223,-304.220132476965,-279.0434341259943,126812994666496.0,0.6386181367981257,95,0.8459546566009521
224,-419.33011476452253,-282.4452805040363,215919582248960.0,0.6373409005245295,80,0.7095141410827637
225,-449.2726313742179,-284.0691588730404,141162723672064.0,0.6360662187234805,84,0.7414896488189697
226,-246.93063855291996,-283.9418225222179,223839820709888.0,0.6347940862860335,93,0.8229537010192871
227,-361.9610453535704,-286.74086304808736,307732695482368.0,0.6335244981134615,99,0.8792781829833984
228,-600.0519711845067,-291.94547523192955,148665259786240.0,0.6322574491172346,216,1.9460859298706055
229,-362.5868804624703,-292.37978987889016,956255745081344.0,0.6309929342190002,136,1.212667465209961
230,-365.2726333143491,-292.36760993140865,189814116712448.0,0.6297309483505622,139,1.2351484298706055
231,-490.8852301932124,-295.2349586001958,209154723545088.0,0.6284714864538611,99,0.8720345497131348
232,-446.7511736742002,-296.5374867675716,241586055151616.0,0.6272145434809534,122,1.0846624374389648
233,-208.37105899091586,-294.0065085845847,213072874569728.0,0.6259601143939915,117,1.0486295223236084
234,-303.46059270529,-293.7459557897726,128078206468096.0,0.6247081941652035,82,0.7270598411560059
235,-465.9369421517467,-294.35152498003526,2.0739553540807066e+17,0.6234587777768731,93,0.8265163898468018
236,-647.5021126861076,-298.1903680618547,286884890673152.0,0.6222118602213194,274,2.4815096855163574
237,-353.8418601414912,-299.1831649754226,336444618964992.0,0.6209674365008767,99,0.8806970119476318
238,-423.5573472101736,-300.03675721778967,254417773264896.0,0.619725501627875,79,0.6952254772186279
239,-311.77917131062054,-301.8144155495263,524843460067328.0,0.6184860506246193,143,1.2699055671691895
240,-384.2166460570192,-305.57789614463394,194857733718016.0,0.61724907852337,86,0.7715895175933838
241,-226.60932189768965,-306.85525184479053,432670307778560.0,0.6160145803663232,152,1.37740159034729
242,-547.9994799854712,-309.03714803686734,147188797669376.0,0.6147825512055906,103,0.916755199432373
243,-331.333282343663,-309.17567275928315,271947212521472.0,0.6135529861031793,91,0.8090455532073975
244,-362.8123811051833,-311.4891931711593,261996930924544.0,0.612325880130973,244,2.2144525051116943
245,-217.60898228700643,-309.24264025463236,243089495031808.0,0.611101228370711,151,1.344489574432373
246,-732.9963179417773,-315.1929264732508,135075253452800.0,0.6098790259139696,217,1.958841323852539
247,-397.64046296321993,-317.8245215552359,263944698593280.0,0.6086592678621416,128,1.146749496459961
248,-278.1811322319651,-319.10920007775076,1133173299740672.0,0.6074419493264174,92,0.8229808807373047
249,-490.1996511947734,-320.7720598639915,2162380742066176.0,0.6062270654277645,179,1.6163043975830078
250,-442.0373197020081,-324.19443538278233,299196984852480.0,0.6050146112969089,103,0.9127593040466309
251,-445.7994083173306,-325.6646998174273,56442400800768.0,0.6038045820743151,114,1.0093932151794434
252,-123.3588690951241,-326.2932224564973,694019537502208.0,0.6025969729101665,131,1.157942295074463
253,-390.7853221581619,-328.0289196181356,326389664317440.0,0.6013917789643461,96,0.8492350578308105
254,-182.05216964495787,-327.8408840940302,467232144490496.0,0.6001889954064175,108,0.9601442813873291
255,-337.2651618894422,-327.98465022596577,280433094819840.0,0.5989886174156046,187,1.6790351867675781
256,-382.07746250849664,-328.36762971230667,214234545782784.0,0.5977906401807734,242,2.183778762817383
257,-406.38524160419576,-329.31400904936527,475183236251648.0,0.5965950589004119,244,2.191958427429199
258,-126.14610408070487,-327.86206633518026,512020331888640.0,0.595401868782611,127,1.1367766857147217
259,-150.02445317770434,-325.9681446113397,1.0512314709049344e+16,0.5942110650450458,85,0.744520902633667
260,-445.3820960594476,-327.4132229341319,246288926900224.0,0.5930226429149558,136,1.218519926071167
261,-554.2975754626257,-331.1389789427756,307250920947712.0,0.5918365976291259,208,1.9021110534667969
262,-479.9931530097037,-333.7691436546408,420507866365952.0,0.5906529244338676,104,0.9243443012237549
263,-629.8845600359983,-336.6369178025728,285450606477312.0,0.5894716185849999,172,1.555208444595337
264,-432.92240425921864,-335.2745454640478,366700012765184.0,0.5882926753478298,98,0.8704488277435303
265,-322.9207149672285,-335.96608338131017,476763448672256.0,0.5871160899971342,117,1.0403141975402832
266,-440.11851554197744,-337.4541056716181,471184286154752.0,0.5859418578171399,242,2.1774890422821045
267,-448.4782258365964,-340.4242775313349,406621532454912.0,0.5847699741015057,87,0.7751610279083252
268,-378.9208817072933,-339.26233200691416,210802346819584.0,0.5836004341533026,119,1.0633785724639893
269,-371.2610103293187,-337.7769385271474,5400332964200448.0,0.5824332332849961,130,1.1595134735107422
270,-382.7909883307134,-340.85468344457564,357051167408128.0,0.5812683668184261,83,0.7354447841644287
271,-284.0450982992932,-342.75716927280826,348624542236672.0,0.5801058300847892,98,0.8669424057006836
272,-480.98263881933707,-344.86018645971455,562479721611264.0,0.5789456184246197,156,1.3905398845672607
273,-332.15232581750155,-343.6071039621012,183521117208576.0,0.5777877271877704,79,0.7140460014343262
274,-602.47137712469,-345.9969565879949,256223672795136.0,0.5766321517333949,175,1.5657002925872803
275,-419.5614674399437,-345.0788467939165,379063847878656.0,0.5754788874299281,126,1.129126787185669
276,-567.0482930500829,-349.35761069053706,115998963269632.0,0.5743279296550683,125,1.1200590133666992
277,-628.1209566221469,-352.9203707035878,394101233025024.0,0.5731792737957582,245,2.217557668685913
278,-361.4002655974739,-351.7344403799938,270749352853504.0,0.5720329152481667,153,1.3653318881988525
279,-414.60679855392556,-352.06003710680767,345611689787392.0,0.5708888494176704,135,1.203291416168213
280,-467.3450392656804,-353.4244830841846,1618549164474368.0,0.569747071718835,100,0.889000654220581
281,-390.68442448933064,-353.71453342419727,280190680825856.0,0.5686075775753973,126,1.1215214729309082
282,-415.9174001403356,-356.5634747591443,237685637644288.0,0.5674703624202465,120,1.0697638988494873
283,-202.2976474060472,-355.90978024481393,635294315446272.0,0.5663354216954061,238,2.1582939624786377
284,-312.18575042934367,-355.4648976766887,432160917946368.0,0.5652027508520152,160,1.4423389434814453
285,-328.87085198760246,-354.91526045922905,589924965285888.0,0.5640723453503111,88,0.7855021953582764
286,-531.4698263318571,-356.509996332836,105959963754496.0,0.5629442006596105,111,0.977715253829956
287,-319.9535149334945,-355.00993472865065,190954313089024.0,0.5618183122582913,92,0.8208620548248291
288,-135.490514218231,-351.96314417765296,423963368882176.0,0.5606946756337747,99,0.879371166229248
289,-432.32153908564067,-352.82488999626503,456152269717504.0,0.5595732862825071,91,0.826270580291748
290,-400.34986722686693,-351.9864059252946,756458698309632.0,0.5584541397099421,199,1.7988028526306152
291,-70.65093222666985,-351.61005867910245,2.4411324518131302e+17,0.5573372314305222,113,1.0025815963745117
292,-372.8404756096178,-354.30759278322273,1.1610435841163264e+16,0.5562225569676611,120,1.0632028579711914
293,-407.88376130039404,-354.31095944402654,145321745186816.0,0.5551101118537257,152,1.3570513725280762
294,-394.29625157443235,-357.5638605226242,263035054718976.0,0.5539998916300183,102,0.9012281894683838
295,-308.82967517666884,-358.0318880265814,627654575259648.0,0.5528918918467582,212,2.3721423149108887
296,-216.3912814471422,-355.14672432525754,972839553335296.0,0.5517861080630647,135,1.4249870777130127
297,-479.4783998961306,-358.40726564842976,1820057755713536.0,0.5506825358469386,180,1.9100065231323242
298,-307.2722605745689,-358.28944135272155,261307823554560.0,0.5495811707752447,94,0.9776656627655029
