Episode,Total Reward,Mean Reward,Train Loss,Epsilon,Actions,Training Time
0,-245.27464561133849,-1.0,0.9866366386413574,0.994,130,0.41813111305236816
1,-69.03795020238377,-1.0,0.8201127648353577,0.988036,67,0.39931631088256836
2,-23.275066158147027,-1.0,0.7904258370399475,0.982107784,94,0.5596354007720947
3,-178.09957197450206,-1.0,125.6136245727539,0.976215137296,89,0.5107376575469971
4,-211.46684238785005,-1.0,48.66725158691406,0.970357846472224,111,0.6333081722259521
5,-255.8479293770027,-1.0,73.34922790527344,0.9645356993933907,114,0.6527113914489746
6,-42.688667943892185,-1.0,3.7485098838806152,0.9587484851970304,133,0.763115644454956
7,-78.34547228724894,-1.0,146.0767364501953,0.9529959942858481,72,0.4092133045196533
8,-345.1890135807248,-1.0,0.4332946240901947,0.947278018320133,102,0.5954952239990234
9,-387.69040661202695,-1.0,1.494218349456787,0.9415943502102122,100,0.5851249694824219
10,-265.358737844148,-1.0,137.85740661621094,0.9359447841089509,142,0.8405632972717285
11,-221.79013973233555,-1.0,2.0447745323181152,0.9303291154042972,95,0.5565047264099121
12,-140.22776405523834,-1.0,74.7703857421875,0.9247471407118714,81,0.4721386432647705
13,-93.66304969028036,-1.0,0.9761025309562683,0.9191986578676001,78,0.4587583541870117
14,-67.13823972033283,-1.0,0.7858553528785706,0.9136834659203945,72,0.42507243156433105
15,-118.8313650743772,-1.0,0.7854375839233398,0.9082013651248722,71,0.4170386791229248
16,-93.91065583974235,-1.0,5.127492427825928,0.9027521569341229,63,0.3735051155090332
17,-418.2589751963775,-1.0,75.88887023925781,0.8973356439925182,84,0.4971041679382324
18,-176.4340319697286,-1.0,0.8140344619750977,0.891951630128563,74,0.43566346168518066
19,-166.15715370580705,-1.0,2.4573557376861572,0.8865999203477917,101,0.5996918678283691
20,-176.15935683825478,-1.0,59.55973434448242,0.881280320825705,112,0.6655011177062988
21,-487.2283636057281,-1.0,141.6217498779297,0.8759926389007507,91,0.5401301383972168
22,-302.7624560890574,-1.0,2.248124361038208,0.8707366830673462,105,0.621485710144043
23,-238.33469348093507,-1.0,0.5266294479370117,0.8655122629689421,101,0.6015684604644775
24,-397.2007741407895,-1.0,0.723395049571991,0.8603191893911285,76,0.4487419128417969
25,-144.51870179628924,-1.0,68.63289642333984,0.8551572742547817,104,0.6124985218048096
26,-73.60519598271631,-1.0,1.015102744102478,0.850026330609253,86,0.5127682685852051
27,-305.4914296621861,-1.0,50.97792053222656,0.8449261726255975,148,0.8827154636383057
28,-334.0422063121388,-1.0,0.5629352331161499,0.8398566155898439,105,0.6309797763824463
29,-137.40640387376297,-1.0,1.0950731039047241,0.8348174758963048,99,0.5899209976196289
30,-172.5765974072051,-1.0,4.780804634094238,0.829808571040927,107,0.6461696624755859
31,-127.26254250980273,-1.0,3.0053439140319824,0.8248297196146814,116,0.6951961517333984
32,-131.46214369099135,-1.0,1.1212273836135864,0.8198807412969933,91,0.5455710887908936
33,-165.2590321979108,-1.0,3.2277650833129883,0.8149614568492113,98,0.5870254039764404
