Episode,Total Reward,Mean Reward,Train Loss,Epsilon,Actions,Training Time
0,-98.18693379789839,-1.0,-1.0,0.998,60,0.008974313735961914
1,-291.2240101736555,-1.0,154.62799072265625,0.996004,91,0.6253292560577393
2,-133.93604792925748,-1.0,82.58158874511719,0.994011992,69,0.7200734615325928
3,-339.3448425557516,-1.0,75.7149658203125,0.992023968016,113,1.1519219875335693
4,-300.61954235331143,-1.0,1.7311882972717285,0.990039920079968,98,1.506972074508667
5,-38.62045917954508,-1.0,0.6065391302108765,0.9880598402398081,76,0.6293175220489502
6,-143.99029552702893,-1.0,9.814891815185547,0.9860837205593285,98,1.171867847442627
7,-267.11789702088225,-1.0,82.05096435546875,0.9841115531182099,94,1.2327053546905518
8,-124.83773141031551,-1.0,155.25848388671875,0.9821433300119734,104,0.7519898414611816
9,-113.93026364678497,-1.0,1.5207539796829224,0.9801790433519495,70,0.5116324424743652
10,-126.25086372379936,-1.0,0.9977309703826904,0.9782186852652456,113,0.826789379119873
11,-260.2234259864462,-1.0,0.6492807269096375,0.976262247894715,72,0.5305812358856201
12,-312.51554411297445,-1.0,0.6684358716011047,0.9743097233989256,95,0.9265236854553223
13,-251.01589249366427,-1.0,3.374760150909424,0.9723611039521278,106,1.0382239818572998
14,-339.6547910777435,-1.0,135.822509765625,0.9704163817442236,153,1.2576377391815186
15,-59.15775144331204,-1.0,1.4856170415878296,0.9684755489807352,122,1.0611634254455566
16,-151.9341701290992,-1.0,0.7831160426139832,0.9665385978827737,103,0.7340378761291504
17,-265.3259839752801,-1.0,67.17740631103516,0.9646055206870082,114,0.8228006362915039
18,-308.22364667377764,-1.0,59.676002502441406,0.9626763096456342,101,0.7280545234680176
19,-101.88353383228775,-1.0,1.6045916080474854,0.9607509570263429,107,0.7878944873809814
20,-147.60049912293147,-1.0,15.161240577697754,0.9588294551122902,91,0.6612329483032227
21,-77.33333360881242,-1.0,52.126216888427734,0.9569117962020657,135,1.0043153762817383
22,-80.8266235726174,-1.0,2.1797306537628174,0.9549979726096616,68,0.49866700172424316
23,-268.60398453211974,-1.0,51.43046188354492,0.9530879766644422,122,0.9025874137878418
24,-82.59547545644541,-1.0,1.3408845663070679,0.9511818007111134,129,0.9793822765350342
25,-269.8615564337989,-1.0,1.1531471014022827,0.9492794371096911,120,0.887627124786377
26,-106.6470252691031,-1.0,1.3573294878005981,0.9473808782354717,83,0.6133615970611572
27,-168.23770823557027,-1.0,2.7616608142852783,0.9454861164790007,106,0.9245293140411377
28,-118.02782364913108,-1.0,2.4573216438293457,0.9435951442460427,76,0.6382927894592285
29,-429.96147185573034,-1.0,1.5303921699523926,0.9417079539575507,86,0.6362991333007812
30,-114.57654063050985,-1.0,18.111093521118164,0.9398245380496356,76,0.6412861347198486
31,-140.7544273587916,-1.0,1.574089527130127,0.9379448889735363,85,0.6153545379638672
32,-351.4929484534457,-1.0,2.4720377922058105,0.9360689991955893,154,1.1399524211883545
33,-119.04096796436471,-1.0,60.38958740234375,0.9341968611971981,115,0.85471510887146
34,-231.0187252779324,-1.0,0.7087125182151794,0.9323284674748037,128,0.9484646320343018
35,-153.7089318974062,-1.0,1.5260372161865234,0.930463810539854,95,0.7270569801330566
36,-52.67406539801445,-1.0,0.610156238079071,0.9286028829187744,116,0.8527207374572754
37,-164.85099940464715,-1.0,46.979774475097656,0.9267456771529368,71,0.5226037502288818
38,-114.67003808811064,-1.0,28.302865982055664,0.9248921857986309,112,0.8168156147003174
39,-282.78633304951154,-1.0,0.494703471660614,0.9230424014270336,93,0.6811800003051758
