Episode,Total Reward,Mean Reward,Train Loss,Epsilon,Actions,Training Time
0,-389.7531934568353,-1.0,139.46180725097656,0.998,86,0.5325756072998047
1,-90.26290275789295,-1.0,79.24752807617188,0.996004,73,0.9634253978729248
2,-173.90115660326228,-1.0,78.30238342285156,0.994011992,160,2.0594942569732666
3,-279.690753299624,-1.0,85.6576919555664,0.992023968016,87,0.9953403472900391
4,-68.10981137148782,-1.0,84.91275787353516,0.990039920079968,89,0.9724006652832031
5,-119.9747178182656,-1.0,100.71776580810547,0.9880598402398081,83,0.8866305351257324
6,-299.10238322026,-1.0,115.17698669433594,0.9860837205593285,76,0.6263267993927002
7,-228.2924237090752,-1.0,77.48070526123047,0.9841115531182099,123,0.9105668067932129
8,-424.02519495772134,-1.0,217.16712951660156,0.9821433300119734,87,0.7479979991912842
9,-98.2321426226117,-1.0,81.99596405029297,0.9801790433519495,73,0.611365556716919
10,-341.9325805222003,-1.0,186.79299926757812,0.9782186852652456,91,0.6702086925506592
11,-112.2329154298913,-1.0,75.87413787841797,0.976262247894715,78,0.6692116260528564
12,-84.69130387071229,-1.0,79.9815444946289,0.9743097233989256,78,0.6013925075531006
13,-250.42730412232305,-1.0,76.6174545288086,0.9723611039521278,91,0.6452746391296387
14,-309.24178345476264,-1.0,68.61624145507812,0.9704163817442236,102,0.7210729122161865
15,-111.4841233620889,-1.0,79.77156829833984,0.9684755489807352,80,0.5565118789672852
16,-359.0112913674792,-1.0,76.8270492553711,0.9665385978827737,84,0.6033868789672852
17,-655.6383596137875,-1.0,148.02272033691406,0.9646055206870082,85,0.6412861347198486
18,-74.10696041633781,-1.0,68.97604370117188,0.9626763096456342,75,0.5834400653839111
19,-133.5912270609653,-1.0,69.79676055908203,0.9607509570263429,125,1.0322422981262207
20,-238.2025374562723,-1.0,63.79294967651367,0.9588294551122902,86,0.6791844367980957
21,-322.4091280962688,-1.0,61.92092514038086,0.9569117962020657,103,0.7868959903717041
22,-126.17498968940264,-1.0,63.89924621582031,0.9549979726096616,101,0.8008594512939453
23,-209.40341301108168,-1.0,59.68175506591797,0.9530879766644422,75,0.5445430278778076
24,-295.24833187836305,-1.0,96.35672760009766,0.9511818007111134,93,0.7011260986328125
25,-344.6111691611221,-1.0,57.239524841308594,0.9492794371096911,94,0.7031209468841553
26,-139.73548656423665,-1.0,46.33318328857422,0.9473808782354717,83,0.8078408241271973
27,-99.2880131495441,-1.0,59.54644775390625,0.9454861164790007,102,0.7410199642181396
28,-432.1701377045381,-1.0,92.10967254638672,0.9435951442460427,101,0.7320420742034912
29,-53.53210729978885,-1.0,116.22606658935547,0.9417079539575507,69,0.4946784973144531
30,-197.12431016909758,-1.0,54.39332962036133,0.9398245380496356,87,0.61435866355896
31,-152.57147138458544,-1.0,48.16921615600586,0.9379448889735363,112,0.8228006362915039
32,-118.34467394079482,-1.0,50.60979080200195,0.9360689991955893,68,0.4936807155609131
33,-124.21291736480245,-1.0,66.00607299804688,0.9341968611971981,80,0.5834388732910156
34,-128.41018320242145,-1.0,55.378604888916016,0.9323284674748037,82,0.5974035263061523
35,-142.40898931843952,-1.0,57.064231872558594,0.930463810539854,96,0.7101025581359863
36,-130.3182955956936,-1.0,78.05123138427734,0.9286028829187744,107,0.7868969440460205
37,-383.0560602154209,-1.0,161.5888214111328,0.9267456771529368,155,1.189819574356079
38,-122.31377064472902,-1.0,62.24900436401367,0.9248921857986309,132,0.9803791046142578
39,-86.4246730427916,-1.0,72.88386535644531,0.9230424014270336,99,0.9414834976196289
40,-161.12383218774255,-1.0,65.48188781738281,0.9211963166241796,90,0.671205997467041
41,-87.04245241330477,-1.0,67.12824249267578,0.9193539239909312,119,0.8806455135345459
42,-286.8024125382365,-1.0,44.247955322265625,0.9175152161429493,94,0.6971368789672852
43,-11.8773285283105,-1.0,129.77577209472656,0.9156801857106633,78,0.5664873123168945
