Episode,Total Reward,Mean Reward,Train Loss,Epsilon,Actions,Training Time
0,-138.84216452580935,-1.0,78.72748565673828,0.998,88,0.1621694564819336
1,-104.29689253295123,-1.0,78.38066101074219,0.996004,82,0.46965479850769043
2,-34.12933522067583,-1.0,77.9127426147461,0.994011992,73,0.41648101806640625
3,-122.43955571519513,-1.0,79.32062530517578,0.992023968016,75,0.42345499992370605
4,-369.2439110598593,-1.0,0.843747079372406,0.990039920079968,87,0.49291419982910156
5,-152.06553319882954,-1.0,77.5436019897461,0.9880598402398081,79,0.44724297523498535
6,-343.258542791422,-1.0,1.0948562622070312,0.9860837205593285,91,0.5185086727142334
7,-259.51517689357973,-1.0,0.7908679246902466,0.9841115531182099,101,0.5761363506317139
8,-164.2839719993003,-1.0,0.792319118976593,0.9821433300119734,109,0.6206014156341553
9,-142.5634714017679,-1.0,77.57378387451172,0.9801790433519495,85,0.48194146156311035
10,26.675029478600138,-1.0,1.3791788816452026,0.9782186852652456,97,0.5529046058654785
11,-82.73057958093904,-1.0,1.761401891708374,0.976262247894715,80,0.4511847496032715
12,-125.92460714418317,-1.0,1.1537874937057495,0.9743097233989256,94,0.533405065536499
13,-352.5039664887389,-1.0,0.5855063796043396,0.9723611039521278,103,0.5875523090362549
14,-209.22469702926398,-1.0,3.523196220397949,0.9704163817442236,62,0.35358691215515137
15,-97.28069683059684,-1.0,70.78519439697266,0.9684755489807352,67,0.3811511993408203
16,-225.05003855625822,-1.0,78.37995910644531,0.9665385978827737,110,0.628063440322876
17,-181.90604944892212,-1.0,0.7932814359664917,0.9646055206870082,104,0.5957725048065186
18,-92.64507386507567,-1.0,3.9287829399108887,0.9626763096456342,68,0.3909902572631836
19,-47.4100203793715,-1.0,1.514420747756958,0.9607509570263429,120,0.6994264125823975
20,-123.3830821944654,-1.0,75.20557403564453,0.9588294551122902,64,0.36304640769958496
21,-228.8236396970177,-1.0,72.07026672363281,0.9569117962020657,81,0.46186017990112305
22,-183.8381046153101,-1.0,3.615557909011841,0.9549979726096616,94,0.5344257354736328
23,-137.63999971928956,-1.0,75.89384460449219,0.9530879766644422,118,0.6794981956481934
24,-371.38543413224585,-1.0,66.72953033447266,0.9511818007111134,123,0.7062523365020752
25,-390.71467467315153,-1.0,3.7023823261260986,0.9492794371096911,83,0.47296833992004395
26,-157.91582951737013,-1.0,1.289273977279663,0.9473808782354717,88,0.5002181529998779
27,-125.08195363066376,-1.0,0.7682321071624756,0.9454861164790007,106,0.6113693714141846
28,-111.98496738949355,-1.0,82.05754852294922,0.9435951442460427,79,0.45276689529418945
29,-83.49051796185977,-1.0,2.0021462440490723,0.9417079539575507,117,0.6740522384643555
30,-324.7473053769134,-1.0,0.9842125773429871,0.9398245380496356,86,0.4918365478515625
31,-231.06006706172815,-1.0,1.2453638315200806,0.9379448889735363,89,0.5119836330413818
32,-147.22882380554768,-1.0,6.933082103729248,0.9360689991955893,117,0.6597466468811035
33,-113.46276760062358,-1.0,55.6549186706543,0.9341968611971981,89,0.5040671825408936
34,-79.6742072023612,-1.0,16.509159088134766,0.9323284674748037,90,0.5104947090148926
35,-103.94815481769547,-1.0,3.1370630264282227,0.930463810539854,112,0.6393897533416748
36,-131.0289511896964,-1.0,120.30413818359375,0.9286028829187744,82,0.4643239974975586
37,-112.6108782007637,-1.0,3.903355836868286,0.9267456771529368,85,0.4838898181915283
38,-172.66831090685858,-1.0,0.9536610841751099,0.9248921857986309,82,0.47724223136901855
39,-184.72549905554183,-1.0,42.59310531616211,0.9230424014270336,93,0.5344059467315674
40,-232.64760749242095,-1.0,7.357008457183838,0.9211963166241796,114,0.6521835327148438
41,-75.6255789151592,-1.0,12.487555503845215,0.9193539239909312,90,0.5102753639221191
42,-240.98862663641742,-1.0,16.040910720825195,0.9175152161429493,105,0.6014270782470703
43,-180.45597054429936,-1.0,0.9762066006660461,0.9156801857106633,103,0.5888895988464355
44,-245.6475342849539,-1.0,24.0226993560791,0.913848825339242,146,0.8410849571228027
