Episode,Total Reward,Mean Reward,Train Loss,Epsilon,Actions,Training Time
0,-91.75027589642816,-1.0,1.5245972871780396,0.998,102,0.37961506843566895
1,-171.1811724862594,-1.0,81.29257202148438,0.996004,80,0.9686846733093262
2,-144.7693868852864,-1.0,1.6941732168197632,0.994011992,98,1.1717941761016846
3,-106.63291248726371,-1.0,87.2513427734375,0.992023968016,105,1.6561355590820312
4,-132.39545282159412,-1.0,0.7086526155471802,0.990039920079968,90,1.093674659729004
5,-164.0791994412897,-1.0,0.608512282371521,0.9880598402398081,97,0.8749561309814453
6,-92.19506767821052,-1.0,3.037842273712158,0.9860837205593285,67,0.6377530097961426
7,-123.64196664311714,-1.0,0.7173735499382019,0.9841115531182099,74,0.7187011241912842
8,-240.3503823346024,-1.0,76.64213562011719,0.9821433300119734,131,1.2186830043792725
9,-210.18197712623262,-1.0,1.112671136856079,0.9801790433519495,81,0.7030601501464844
10,-137.8558905218287,-1.0,1.8894259929656982,0.9782186852652456,81,0.7655699253082275
11,2.9722528974819937,-1.0,78.06617736816406,0.976262247894715,89,0.7968201637268066
12,41.376189346989975,-1.0,1.6704094409942627,0.9743097233989256,84,0.8436923027038574
13,-163.08295180674264,-1.0,1.109179973602295,0.9723611039521278,72,0.6874525547027588
14,-96.66983203717868,-1.0,78.18412780761719,0.9704163817442236,60,0.6249747276306152
15,-137.9330887906043,-1.0,1.1375441551208496,0.9684755489807352,102,1.124906301498413
16,-239.25489228116749,-1.0,1.2154852151870728,0.9665385978827737,111,1.1561706066131592
17,-144.91695200236302,-1.0,2.230837106704712,0.9646055206870082,61,0.6718447208404541
18,-124.00041945154965,-1.0,83.98265075683594,0.9626763096456342,98,1.031162977218628
19,-255.61485007337734,-1.0,2.389014720916748,0.9607509570263429,144,1.51552152633667
20,-323.2355641758584,-1.0,0.7830946445465088,0.9588294551122902,87,0.9999313354492188
21,-102.28328899417514,-1.0,77.58451843261719,0.9569117962020657,71,0.7499639987945557
22,-129.32105855884788,-1.0,153.0452423095703,0.9549979726096616,95,0.9374232292175293
